platform,name,handle,external_id,date_launched,scope_type,bounty_min,bounty_max,link
Immunefi,Jito - BAM Client,jito-bam-client,Immunefi:jito-bam-client,2025-10-22,"blockchain-dlt,rust",1000.0,100000.0,https://immunefi.com/bug-bounty/jito-bam-client/information/
Immunefi,Kamino,kamino,Immunefi:kamino,2025-10-06,"smart contract,domain",10000.0,1500000.0,https://immunefi.com/bug-bounty/kamino/information/
Immunefi,Felix,felix,Immunefi:felix,2025-10-02,smart contract,1000.0,100000.0,https://immunefi.com/bug-bounty/felix/information/
Immunefi,Parallel,parallel,Immunefi:parallel,2025-10-02,"smart contract,domain,javascript,solidity,typescript,go",1000.0,250000.0,https://immunefi.com/bug-bounty/parallel/information/
Immunefi,XOXNO,xoxno,Immunefi:xoxno,2025-09-16,"smart contract,rust",1000.0,50000.0,https://immunefi.com/bug-bounty/xoxno/information/
Immunefi,Impossible Cloud Network,impossible-cloud-network,Immunefi:impossible-cloud-network,2025-09-09,smart contract,1500.0,25000.0,https://immunefi.com/bug-bounty/impossible-cloud-network/information/
Immunefi,monero-oxide,monero-oxide,Immunefi:monero-oxide,2025-09-09,"blockchain-dlt,rust",1000.0,100000.0,https://immunefi.com/bug-bounty/monero-oxide/information/
Immunefi,zkVerify,zkverify,Immunefi:zkverify,2025-09-05,"blockchain-dlt,domain,rust",5000.0,50000.0,https://immunefi.com/bug-bounty/zkverify/information/
Immunefi,Enzyme Onyx,enzyme-onyx,Immunefi:enzyme-onyx,2025-09-04,"smart contract,solidity",1000.0,200000.0,https://immunefi.com/bug-bounty/enzyme-onyx/information/
Immunefi,Paradex,paradex,Immunefi:paradex,2025-08-22,"domain,smart contract",500.0,500000.0,https://immunefi.com/bug-bounty/paradex/information/
Immunefi,Injective,injective,Immunefi:injective,2025-07-21,"domain,smart contract,blockchain-dlt",1000.0,500000.0,https://immunefi.com/bug-bounty/injective/information/
Immunefi,Zano,zano,Immunefi:zano,2025-07-14,"domain,blockchain-dlt,c++",2000.0,10000.0,https://immunefi.com/bug-bounty/zano/information/
Immunefi,Alpen Labs,alpen-labs,Immunefi:alpen-labs,2025-07-09,"smart contract,domain",1000.0,5000.0,https://immunefi.com/bug-bounty/alpen-labs/information/
Immunefi,Farcaster,farcaster,Immunefi:farcaster,2025-06-18,domain,1000.0,25000.0,https://immunefi.com/bug-bounty/farcaster/information/
Immunefi,OFZA,ofza-1,Immunefi:ofza-1,2025-06-18,domain,500.0,10000.0,https://immunefi.com/bug-bounty/ofza-1/information/
Immunefi,Immutable,immutable,Immunefi:immutable,2025-06-10,smart contract,1000.0,1000000.0,https://immunefi.com/bug-bounty/immutable/information/
Immunefi,Daimo Pay,daimo-pay,Immunefi:daimo-pay,2025-06-06,"smart contract,solidity",1000.0,20000.0,https://immunefi.com/bug-bounty/daimo-pay/information/
Immunefi,INTMAX,intmax,Immunefi:intmax,2025-05-25,"blockchain-dlt,smart contract",1000.0,10000.0,https://immunefi.com/bug-bounty/intmax/information/
Immunefi,stake.link,stakelink,Immunefi:stakelink,2025-05-14,"smart contract,domain",1000.0,100000.0,https://immunefi.com/bug-bounty/stakelink/information/
Immunefi,OpenZeppelin on Stellar,openzeppelin-stellar,Immunefi:openzeppelin-stellar,2025-05-08,smart contract,1000.0,25000.0,https://immunefi.com/bug-bounty/openzeppelin-stellar/information/
Immunefi,XION,xion,Immunefi:xion,2025-05-08,"smart contract,blockchain-dlt,domain",1000.0,250000.0,https://immunefi.com/bug-bounty/xion/information/
Immunefi,YO Protocol,yo-protocol,Immunefi:yo-protocol,2025-05-05,"smart contract,domain",1000.0,10000.0,https://immunefi.com/bug-bounty/yo-protocol/information/
Immunefi,Haven1,haven1,Immunefi:haven1,2025-04-30,smart contract,1000.0,100000.0,https://immunefi.com/bug-bounty/haven1/information/
Immunefi,Ostium,ostium,Immunefi:ostium,2025-04-30,domain,1000.0,100000.0,https://immunefi.com/bug-bounty/ostium/information/
Immunefi,FOIL,foil,Immunefi:foil,2025-04-23,"smart contract,domain",1000.0,10000.0,https://immunefi.com/bug-bounty/foil/information/
Immunefi,USDN,usdn,Immunefi:usdn,2025-04-21,smart contract,1000.0,50000.0,https://immunefi.com/bug-bounty/usdn/information/
Immunefi,Aster,aster,Immunefi:aster,2025-04-16,"smart contract,domain",1000.0,200000.0,https://immunefi.com/bug-bounty/aster/information/
Immunefi,Resolv,resolv,Immunefi:resolv,2025-03-31,"domain,smart contract",1000.0,500000.0,https://immunefi.com/bug-bounty/resolv/information/
Immunefi,Berachain (Web/Apps),berachain-webapps,Immunefi:berachain-webapps,2025-03-18,domain,1000.0,10000.0,https://immunefi.com/bug-bounty/berachain-webapps/information/
Immunefi,Granite Protocol,granite-protocol,Immunefi:granite-protocol,2025-02-26,"smart contract,domain,clarity",1000.0,150000.0,https://immunefi.com/bug-bounty/granite-protocol/information/
Immunefi,Berachain,berachain,Immunefi:berachain,2025-02-06,"blockchain-dlt,smart contract,go,solidity,rust",0.0,250000.0,https://immunefi.com/bug-bounty/berachain/information/
