external_id,platform,name,program_link,date_launched,scope_type,github_link_count,github_links
HackenProof:snowbridge-web,HackenProof,Snowbridge Web,https://hackenproof.com/programs/snowbridge-web,2025-09-11,"domain,other",0,
HackenProof:solv-smart-contracts,HackenProof,Solv Smart Contracts,https://hackenproof.com/programs/solv-smart-contracts,2026-01-15,"other,rust,smart contract",1,https://github.com/solv-finance/SolvBTC-Solana-Contract/tree/4c8f194bb4c42faa617af820ed22e24b685feafb
HackenProof:solv-web-and-infrastructure,HackenProof,Solv Web & Infrastructure,https://hackenproof.com/programs/solv-web-and-infrastructure,2025-12-29,"api,domain,wildcard",0,
HackenProof:swap-dot-io-smart-contracts,HackenProof,Swap.io Smart Contracts,https://hackenproof.com/programs/swap-dot-io-smart-contracts,2025-03-17,"other,rust,smart contract",43,https://github.com/swap-dot-io/swap-io-clmm/blob/586ca2beb81721b33ae1f2975b8f016cf242c492/programs/amm/src/error.rs | https://github.com/swap-dot-io/swap-io-clmm/blob/586ca2beb81721b33ae1f2975b8f016cf242c492/programs/amm/src/instructions/admin/collect_fund_fee.rs | https://github.com/swap-dot-io/swap-io-clmm/blob/586ca2beb81721b33ae1f2975b8f016cf242c492/programs/amm/src/instructions/admin/collect_protocol_fee.rs | https://github.com/swap-dot-io/swap-io-clmm/blob/586ca2beb81721b33ae1f2975b8f016cf242c492/programs/amm/src/instructions/admin/create_operation_account.rs | https://github.com/swap-dot-io/swap-io-clmm/blob/586ca2beb81721b33ae1f2975b8f016cf242c492/programs/amm/src/instructions/admin/mod.rs | https://github.com/swap-dot-io/swap-io-clmm/blob/586ca2beb81721b33ae1f2975b8f016cf242c492/programs/amm/src/instructions/admin/transfer_reward_owner.rs | https://github.com/swap-dot-io/swap-io-clmm/blob/586ca2beb81721b33ae1f2975b8f016cf242c492/programs/amm/src/instructions/admin/update_amm_config.rs | https://github.com/swap-dot-io/swap-io-clmm/blob/586ca2beb81721b33ae1f2975b8f016cf242c492/programs/amm/src/instructions/admin/update_operation_account.rs | https://github.com/swap-dot-io/swap-io-clmm/blob/586ca2beb81721b33ae1f2975b8f016cf242c492/programs/amm/src/instructions/admin/update_pool_status.rs | https://github.com/swap-dot-io/swap-io-clmm/blob/586ca2beb81721b33ae1f2975b8f016cf242c492/programs/amm/src/instructions/close_position.rs | https://github.com/swap-dot-io/swap-io-clmm/blob/586ca2beb81721b33ae1f2975b8f016cf242c492/programs/amm/src/instructions/collect_remaining_rewards.rs | https://github.com/swap-dot-io/swap-io-clmm/blob/586ca2beb81721b33ae1f2975b8f016cf242c492/programs/amm/src/instructions/create_pool.rs | https://github.com/swap-dot-io/swap-io-clmm/blob/586ca2beb81721b33ae1f2975b8f016cf242c492/programs/amm/src/instructions/decrease_liquidity.rs | https://github.com/swap-dot-io/swap-io-clmm/blob/586ca2beb81721b33ae1f2975b8f016cf242c492/programs/amm/src/instructions/increase_liquidity.rs | https://github.com/swap-dot-io/swap-io-clmm/blob/586ca2beb81721b33ae1f2975b8f016cf242c492/programs/amm/src/instructions/initialize_reward.rs | https://github.com/swap-dot-io/swap-io-clmm/blob/586ca2beb81721b33ae1f2975b8f016cf242c492/programs/amm/src/instructions/mod.rs | https://github.com/swap-dot-io/swap-io-clmm/blob/586ca2beb81721b33ae1f2975b8f016cf242c492/programs/amm/src/instructions/open_position.rs | https://github.com/swap-dot-io/swap-io-clmm/blob/586ca2beb81721b33ae1f2975b8f016cf242c492/programs/amm/src/instructions/set_reward_params.rs | https://github.com/swap-dot-io/swap-io-clmm/blob/586ca2beb81721b33ae1f2975b8f016cf242c492/programs/amm/src/instructions/swap.rs | https://github.com/swap-dot-io/swap-io-clmm/blob/586ca2beb81721b33ae1f2975b8f016cf242c492/programs/amm/src/instructions/swap_router_base_in.rs | https://github.com/swap-dot-io/swap-io-clmm/blob/586ca2beb81721b33ae1f2975b8f016cf242c492/programs/amm/src/instructions/update_reward_info.rs | https://github.com/swap-dot-io/swap-io-clmm/blob/586ca2beb81721b33ae1f2975b8f016cf242c492/programs/amm/src/lib.rs | https://github.com/swap-dot-io/swap-io-clmm/blob/586ca2beb81721b33ae1f2975b8f016cf242c492/programs/amm/src/libraries/big_num.rs | https://github.com/swap-dot-io/swap-io-clmm/blob/586ca2beb81721b33ae1f2975b8f016cf242c492/programs/amm/src/libraries/fixed_point_64.rs | https://github.com/swap-dot-io/swap-io-clmm/blob/586ca2beb81721b33ae1f2975b8f016cf242c492/programs/amm/src/libraries/full_math.rs | https://github.com/swap-dot-io/swap-io-clmm/blob/586ca2beb81721b33ae1f2975b8f016cf242c492/programs/amm/src/libraries/liquidity_math.rs | https://github.com/swap-dot-io/swap-io-clmm/blob/586ca2beb81721b33ae1f2975b8f016cf242c492/programs/amm/src/libraries/mod.rs | https://github.com/swap-dot-io/swap-io-clmm/blob/586ca2beb81721b33ae1f2975b8f016cf242c492/programs/amm/src/libraries/sqrt_price_math.rs | https://github.com/swap-dot-io/swap-io-clmm/blob/586ca2beb81721b33ae1f2975b8f016cf242c492/programs/amm/src/libraries/swap_math.rs | https://github.com/swap-dot-io/swap-io-clmm/blob/586ca2beb81721b33ae1f2975b8f016cf242c492/programs/amm/src/libraries/tick_array_bit_map.rs | https://github.com/swap-dot-io/swap-io-clmm/blob/586ca2beb81721b33ae1f2975b8f016cf242c492/programs/amm/src/libraries/tick_math.rs | https://github.com/swap-dot-io/swap-io-clmm/blob/586ca2beb81721b33ae1f2975b8f016cf242c492/programs/amm/src/libraries/unsafe_math.rs | https://github.com/swap-dot-io/swap-io-clmm/blob/586ca2beb81721b33ae1f2975b8f016cf242c492/programs/amm/src/states/config.rs | https://github.com/swap-dot-io/swap-io-clmm/blob/586ca2beb81721b33ae1f2975b8f016cf242c492/programs/amm/src/states/mod.rs | https://github.com/swap-dot-io/swap-io-clmm/blob/586ca2beb81721b33ae1f2975b8f016cf242c492/programs/amm/src/states/operation_account.rs | https://github.com/swap-dot-io/swap-io-clmm/blob/586ca2beb81721b33ae1f2975b8f016cf242c492/programs/amm/src/states/oracle.rs | https://github.com/swap-dot-io/swap-io-clmm/blob/586ca2beb81721b33ae1f2975b8f016cf242c492/programs/amm/src/states/personal_position.rs | https://github.com/swap-dot-io/swap-io-clmm/blob/586ca2beb81721b33ae1f2975b8f016cf242c492/programs/amm/src/states/pool.rs | https://github.com/swap-dot-io/swap-io-clmm/blob/586ca2beb81721b33ae1f2975b8f016cf242c492/programs/amm/src/states/protocol_position.rs | https://github.com/swap-dot-io/swap-io-clmm/blob/586ca2beb81721b33ae1f2975b8f016cf242c492/programs/amm/src/states/tick_array.rs | https://github.com/swap-dot-io/swap-io-clmm/blob/586ca2beb81721b33ae1f2975b8f016cf242c492/programs/amm/src/util/mod.rs | https://github.com/swap-dot-io/swap-io-clmm/blob/586ca2beb81721b33ae1f2975b8f016cf242c492/programs/amm/src/util/system.rs | https://github.com/swap-dot-io/swap-io-clmm/blob/586ca2beb81721b33ae1f2975b8f016cf242c492/programs/amm/src/util/token.rs
HackenProof:sweed-web,HackenProof,Sweed Web,https://hackenproof.com/programs/sweed-web,2025-09-09,domain,0,
HackenProof:synfutures-dapp,HackenProof,SynFutures dApp,https://hackenproof.com/programs/synfutures-dapp,2025-06-17,domain,0,
HackenProof:tapbit-web-and-mobile,HackenProof,Tapbit Web & Mobile,https://hackenproof.com/programs/tapbit-web-and-mobile,2025-06-25,"domain,mobile",0,
HackenProof:the-sandbox-public-infrastructure,HackenProof,The Sandbox Public Infrastructure,https://hackenproof.com/programs/the-sandbox-public-infrastructure,2025-05-22,"domain,wildcard",0,
HackenProof:the-sandbox-smart-contracts,HackenProof,The Sandbox Smart Contracts,https://hackenproof.com/programs/the-sandbox-smart-contracts,2025-05-22,"domain,smart contract,solidity",0,
HackenProof:turbos-finance-smart-contracts,HackenProof,Turbos Finance Smart Contracts,https://hackenproof.com/programs/turbos-finance-smart-contracts,2025-09-17,"move,other,smart contract",1,https://github.com/hackenproof-public/turbos-clmm-public
HackenProof:volo-smart-contracts,HackenProof,Volo Smart Contracts,https://hackenproof.com/programs/volo-smart-contracts,2025-10-16,"move,other,smart contract",1,https://github.com/Sui-Volo/volo-smart-contracts
HackenProof:volo-web,HackenProof,Volo Web,https://hackenproof.com/programs/volo-web,2025-10-16,domain,0,
HackenProof:walrus-smart-contracts,HackenProof,Walrus Smart Contracts,https://hackenproof.com/programs/walrus-smart-contracts,2025-03-27,"move,other,rust,smart contract",2,https://github.com/MystenLabs/walrus/tree/main/contracts | https://github.com/MystenLabs/walrus/tree/main/crates/walrus-core
HackenProof:whitechain-bridge,HackenProof,Whitechain Bridge,https://hackenproof.com/programs/whitechain-bridge,2025-12-29,"other,smart contract,solidity",1,https://github.com/whitechain-labs/bridge-contracts
HackenProof:zo-finance-smart-contracts,HackenProof,ZO Finance Smart Contracts,https://hackenproof.com/programs/zo-finance-smart-contracts,2026-06-01,"move,other,smart contract",2,https://github.com/zofinance/zo-contracts-public | https://github.com/zofinance/zo-contracts-usdz-public
HackenProof:zo-finance-web,HackenProof,ZO Finance Web,https://hackenproof.com/programs/zo-finance-web,2026-06-01,"domain,wildcard",0,
HackenProof:zetachain-blockchain-software,HackenProof,ZetaChain Blockchain Software,https://hackenproof.com/programs/zetachain-blockchain-software,2026-06-01,"blockchain-dlt,go,other",3,https://github.com/zeta-chain/go-tss | https://github.com/zeta-chain/node | https://github.com/zeta-chain/tss-lib
HackenProof:zetachain-smart-contracts,HackenProof,ZetaChain Smart Contracts,https://hackenproof.com/programs/zetachain-smart-contracts,2026-06-01,"blockchain-dlt,other,smart contract,solidity",0,
HackenProof:zoomex-web-and-mobile,HackenProof,Zoomex Web & Mobile,https://hackenproof.com/programs/zoomex-web-and-mobile,2025-06-27,"domain,mobile",0,
Immunefi:0x,Immunefi,0x,https://immunefi.com/bug-bounty/0x/information/,2024-07-30,"smart contract,domain,solidity",0,
Immunefi:agni,Immunefi,AGNI,https://immunefi.com/bug-bounty/agni/information/,2026-02-18,smart contract,0,
Immunefi:aleo,Immunefi,Aleo,https://immunefi.com/bug-bounty/aleo/information/,2025-11-24,blockchain-dlt,0,
Immunefi:alpen-labs,Immunefi,Alpen Labs,https://immunefi.com/bug-bounty/alpen-labs/information/,2025-07-09,"smart contract,domain",0,
Immunefi:arkadiko,Immunefi,Arkadiko,https://immunefi.com/bug-bounty/arkadiko/information/,2024-06-03,"smart contract,domain,clarity",0,
